"region","spot id","表示名","spot種別","landmark","secret","hub","出口","みち本数","crowd","zone","実画面で見える特徴","分類","発見通知の妥当性","推奨通知レベル","必要なscenery修正","備考"
"city","station","えきまえ","plaza","","","","","1","7","えきまえ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"city","square","えきまえひろば","plaza","","","yes","","4","9","えきまえ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"city","cross1","おおどおりのこうさてん","path","","","","","2","4","しょうてんがい","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","cross2","こうさてん","path","","","","","2","4","こうえん","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","cafe","カフェどおり","shelter","","","","","2","7","えきまえ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"city","cross5","おおどおりのなかほど","path","","","","","3","2","えきまえ","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","arcade","しょうてんがい","shop","","","","","3","7","しょうてんがい","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"city","bakery","パンやのまえ","shop","","","","","3","3","しょうてんがい","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"city","flower","はなやのかど","shop","","","","","2","2","しょうてんがい","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"city","arcade2","しょうてんがいのおく","shop","","","","","3","4","しょうてんがい","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","stalls","やたいのならび","shop","","","","mouth","3","5","いちばどおり","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"city","market","よいちのひろば","plaza","","","","","4","6","いちばどおり","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"city","fish","さかなやのまえ","shop","","","","","2","3","いちばどおり","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"city","marketback","いちばのうら","path","","","","","2","0","いちばどおり","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","alley","ろじうら","path","","","","","4","1","ろじうら","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","cats","ねこのばしょ","rest","","yes","","","1","1","ろじうら","専用の もの(struct/絵文字 175-230) / まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"city","backdoor","ビルのうらぐち","path","","","","","3","0","ろじうら","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","backlot","ビルのうら","path","","","","","4","1","ろじうら","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","rooftop","やねのうえ","rest","","yes","","","1","1","ろじうら","まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"city","alley2","ほそいろじ","path","","","","","2","0","ろじうら","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","park","こうえん","plaza","","","","","3","6","こうえん","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"city","pond","こうえんのいけ","water","","","","","4","3","こうえん","あおい みずたまり(半径いっぱい) / 住民が あつまる(crowd>=3)","A","みずたまりが 半径いっぱいに えがかれる","L2","",""
"city","playground","あそびば","plaza","","","","","2","3","こうえん","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"city","parkwalk","こうえんのこみち","path","","","","","3","1","こうえん","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","riverwalk","かわぞいのみち","path","","","","","2","1","かわぞいのみち","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"city","riverpark","かわらのひろば","plaza","","","","","3","3","かわぞいのみち","住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","citybridge","まちのはし","path","","","","","3","1","かわぞいのみち","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"city","boatpier","ふなつきば","rest","","","","gate","2","2","かわぞいのみち","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"city","rivercross","かわぞいのこうさてん","path","","","","","2","1","かわぞいのみち","専用の もの(struct/絵文字 175-230)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","office1","オフィスがい","path","","","","","4","2","オフィスがい","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"city","office2","ビルのはざま","path","","","","","3","0","オフィスがい","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","plaza2","ビルのひろば","plaza","","","","","4","3","オフィスがい","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"city","cross4","おおどおりのはし","path","","","","gate","3","2","オフィスがい","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","resid1","じゅうたくがい","plaza","","","","","3","3","じゅうたくがい","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"city","resid2","いえなみのみち","path","","","","","3","1","じゅうたくがい","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","cityshrine","まちのおやしろ","rest","","","","","2","2","じゅうたくがい","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"city","catlane","ねこのほそみち","rest","","yes","","","1","1","じゅうたくがい","専用の もの(struct/絵文字 175-230) / まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"city","hillfoot","さかしたのかど","path","","","","","3","1","じゅうたくがい","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","slope","さかみち","path","","","","","3","1","たかだい","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","cross3","さかのこうさてん","path","","","","","4","2","たかだい","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"city","steps","ながいかいだん","path","","","","","2","0","たかだい","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","uphouse","たかだいのいえなみ","path","","","","","3","1","たかだい","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"city","lookout","てんぼうひろば","edge","","","","","5","3","たかだい","カメラが 引く(430→560/600) / 住民が あつまる(crowd>=3)","F","なまえは とくちょうを やくそくする のに 画面に それが ない","L0","みはらし: てすり/岩/道しるべ など 1つ 置けば L2 に 上げられる","cam=wide"
"city","towerplaza","とけいとうのひろば","plaza","","","","","3","3","とけいとうのおか","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"city","citygarden","たかだいのにわ","grove","","","","","2","2","とけいとうのおか","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"city","tower","とけいとう","edge","tower","","","","2","2","とけいとうのおか","専用の おおきな めじるし(size560) / カメラが 引く(430→560/600)","A","landmark。画面を 占める 大きさ(560)で ぜったいに わかる","L3","","cam=wide"
"city","obs","ひみつのてんぼう","rest","","yes","","","1","1","とけいとうのおか","まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"countryside","gate","むらのいりぐち","plaza","","","","","1","1","むら","ひろばの じめん(alpha .5)だけ","D","画面は その へんの 地面と おなじ。何も ない","L0","",""
"countryside","village","むらのひろば","plaza","","","yes","","5","9","むら","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","store","むらのよろずや","shop","","","","","2","5","むら","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","bus","バスていのベンチ","rest","","","","","2","4","むら","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"countryside","road","あぜみち","path","","","","","2","3","むら","住民が あつまる(crowd>=3)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"countryside","field1","はたけ","grove","","","","","3","3","はたけ","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","field2","ひろいはたけ","grove","","","","","2","2","はたけ","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","scarecrow","かかしのみち","path","","","","","3","1","はたけ","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"countryside","paddy","たんぼのあぜ","path","","","","","3","0","はたけ","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"countryside","shed2","のうぐごや","shelter","","","","","3","2","はたけ","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","orchard","かじゅえん","grove","","","","","4","3","かじゅえん","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","orchard2","りんごのき","grove","","","","","3","2","かじゅえん","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","ladder","はしごのおくば","path","","","","","2","0","かじゅえん","みちいろの じめん(alpha .28)だけ","F","なまえは とくちょうを やくそくする のに 画面に それが ない","L0","とくちょう物を 1つ 足すか、なまえを 弱める",""
"countryside","meadow","そうげん","plaza","","","","","5","5","そうげん","住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"countryside","pasture","ぼくじょう","grove","","","","","3","3","そうげん","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"countryside","barn","なや","shelter","","","","","2","3","そうげん","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","cow","うしのみずば","water","","","","","2","2","そうげん","専用の もの(struct/絵文字 175-230) / あおい みずたまり(半径いっぱい)","A","みずたまりが 半径いっぱいに えがかれる","L2","",""
"countryside","fence","ながいさく","path","","","","","3","0","そうげん","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"countryside","riverbank","かわぞい","water","","","","mouth","3","2","かわぞいのみち","専用の もの(struct/絵文字 175-230) / あおい みずたまり(半径いっぱい)","A","みずたまりが 半径いっぱいに えがかれる","L2","",""
"countryside","stepstone","とびいし","path","","","","","3","0","かわぞいのみち","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","watermill","みずぐるま","edge","windmill","","","","4","2","かわぞいのみち","専用の おおきな めじるし(size560) / カメラが 引く(430→560/600)","A","landmark。画面を 占める 大きさ(560)で ぜったいに わかる","L3","",""
"countryside","fishspot","かわのつりば","water","","","","","2","1","かわぞいのみち","専用の もの(struct/絵文字 175-230) / あおい みずたまり(半径いっぱい)","A","みずたまりが 半径いっぱいに えがかれる","L2","",""
"countryside","terrace","たなだ","grove","","","","","4","2","たなだ","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","terrace2","たなだのうえ","path","","","","","2","1","たなだ","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"countryside","terracelook","たなだのてんぼう","edge","","","","gate","2","1","たなだ","カメラが 引く(430→560/600)","F","なまえは とくちょうを やくそくする のに 画面に それが ない","L0","みはらし: てすり/岩/道しるべ など 1つ 置けば L2 に 上げられる","cam=wide"
"countryside","hamletwell","きょうどうのいど","rest","","","","","3","2","となりのしゅうらく","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","hamlet","となりのしゅうらく","plaza","","","","","3","6","となりのしゅうらく","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","hamlethouse","かやぶきのいえ","rest","","","","","2","5","となりのしゅうらく","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","hamletlane","しゅうらくのこみち","path","","","","","2","0","となりのしゅうらく","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"countryside","lane1","ながいあぜみち","path","","","","","3","1","むら","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"countryside","lane2","みちのぶんき","path","","","","","3","1","むら","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","hillpath","おかのみち","path","","","","","4","1","おか","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"countryside","hill","ひなたのおか","plaza","","","","","4","7","おか","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","well","いど","rest","","","","","3","4","おか","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","shrine","ちいさなほこら","rest","","","","","3","4","おか","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","woods","ちんじゅのもり","grove","","","","gate","3","2","ちんじゅのもり","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","torii","ふるいとりい","path","","","","mouth","4","1","ちんじゅのもり","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","woodsrest","もりのベンチ","rest","","","","","3","1","ちんじゅのもり","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","mountpath","もりのやまみち","path","","","","","2","0","ちんじゅのもり","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"countryside","skyland","そらのりば","plaza","","","","gate","1","1","ちんじゅのもり","専用の もの(struct/絵文字 175-230)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"countryside","hut","はたけのこや","shelter","","","","","3","1","むらのはずれ","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","windmill","ふうしゃ","edge","windmill","","","","3","2","むらのはずれ","専用の おおきな めじるし(size560) / カメラが 引く(430→560/600)","A","landmark。画面を 占める 大きさ(560)で ぜったいに わかる","L3","",""
"countryside","oldtree","おおきなき","edge","bigtree","","","","2","2","むらのはずれ","専用の おおきな めじるし(size560) / カメラが 引く(430→560/600)","A","landmark。画面を 占める 大きさ(560)で ぜったいに わかる","L3","","cam=wide"
"countryside","farfield","はずれのはたけ","grove","","","","","3","1","むらのはずれ","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"countryside","pond","かくれたためいけ","water","","yes","","","1","1","むらのはずれ","あおい みずたまり(半径いっぱい) / まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"countryside","mossrock","こけのいわ","rest","","yes","","","1","1","ちんじゅのもり","専用の もの(struct/絵文字 175-230) / まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"countryside","orchardhut","かじゅえんのこや","rest","","yes","","","1","1","かじゅえん","専用の もの(struct/絵文字 175-230) / まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"countryside","riverislet","かわのなかす","water","","yes","","","1","1","かわぞいのみち","あおい みずたまり(半径いっぱい) / まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"forest","entry","もりのいりぐち","plaza","","","","gate","1","4","あかるいもり","住民が あつまる(crowd>=3)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"forest","bright1","あかるいこみち","path","","","yes","","4","7","あかるいもり","住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"forest","bright2","ひだまり","plaza","","","","","3","9","あかるいもり","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","bright3","きのねっこ","grove","","","","","2","5","あかるいもり","住民が あつまる(crowd>=3)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"forest","sunspot","こもれびのひろば","plaza","","","","","2","8","あかるいもり","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","creek1","おがわ","water","","","","","4","4","おがわのあたり","専用の もの(struct/絵文字 175-230) / あおい みずたまり(半径いっぱい) / 住民が あつまる(crowd>=3)","A","みずたまりが 半径いっぱいに えがかれる","L2","",""
"forest","shallow","せせらぎ","water","","","","","2","1","おがわのあたり","あおい みずたまり(半径いっぱい)","A","みずたまりが 半径いっぱいに えがかれる","L2","",""
"forest","bridge1","まるたのはし","path","","","","","4","0","おがわのあたり","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","creek2","おがわのふち","water","","","","","3","2","おがわのあたり","あおい みずたまり(半径いっぱい)","A","みずたまりが 半径いっぱいに えがかれる","L2","",""
"forest","creekdeep","おがわのおく","water","","","","","2","0","おがわのあたり","あおい みずたまり(半径いっぱい)","A","みずたまりが 半径いっぱいに えがかれる","L2","",""
"forest","bridge2","いしのはし","path","","","","","3","0","おがわのあたり","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","hiddenpond","かくれたいけ","water","","yes","","","1","1","おがわのあたり","あおい みずたまり(半径いっぱい) / まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
"forest","thicket1","にたようなこだち","path","","","","","3","0","にたようなこだち","ぶんきの 🪧(size84・どこも おなじ)","F","なまえは とくちょうを やくそくする のに 画面に それが ない","L0","なまえが「見わけが つかない」ことを 言って いる。scenery を 足す より L0 が 自然",""
"forest","thicket2","にたようなこだち","path","","","","","4","0","にたようなこだち","ぶんきの 🪧(size84・どこも おなじ)","F","なまえは とくちょうを やくそくする のに 画面に それが ない","L0","なまえが「見わけが つかない」ことを 言って いる。scenery を 足す より L0 が 自然",""
"forest","thicket3","まよいのわかれみち","path","","","","","5","0","にたようなこだち","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"forest","thicket4","にたようなこだち","path","","","","","3","0","にたようなこだち","ぶんきの 🪧(size84・どこも おなじ)","F","なまえは とくちょうを やくそくする のに 画面に それが ない","L0","なまえが「見わけが つかない」ことを 言って いる。scenery を 足す より L0 が 自然",""
"forest","fork","みつまた","plaza","","","","","3","7","にたようなこだち","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"forest","hollow","きのうろ","shelter","","","","","2","4","にたようなこだち","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","rest","きゅうけいばしょ","rest","","","","","3","7","にたようなこだち","専用の もの(struct/絵文字 175-230) / 住民が あつまる(crowd>=3)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","fern1","しだのくぼち","grove","","","","","4","2","しだのくぼち","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"forest","fern2","たおれたきのはし","path","","","","","3","0","しだのくぼち","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","fern3","しだのおくみち","path","","","","","3","0","しだのくぼち","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"forest","fernlook","くぼちのみはらし","edge","","","","","1","1","しだのくぼち","カメラが 引く(430→560/600)","F","なまえは とくちょうを やくそくする のに 画面に それが ない","L0","みはらし: てすり/岩/道しるべ など 1つ 置けば L2 に 上げられる","cam=wide"
"forest","mushpath","キノコへのみち","path","","","","","2","0","キノコのもり","みちいろの じめん(alpha .28)だけ","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"forest","mush1","ひかるキノコ","grove","glowmushroom","","","","3","4","キノコのもり","専用の おおきな めじるし(size560) / 住民が あつまる(crowd>=3)","A","landmark。画面を 占める 大きさ(560)で ぜったいに わかる","L3","",""
"forest","mush2","キノコのこみち","grove","","","","","2","2","キノコのもり","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","mush3","キノコのわ","grove","","","","","3","2","キノコのもり","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","deep1","ふかいもり","grove","","","","","4","1","ふかいもり","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"forest","deep2","こけのいわ","rest","","","","","4","1","ふかいもり","専用の もの(struct/絵文字 175-230)","A","この spot 専用の ものが 立って いる","L2","",""
"forest","deep3","くらいこみち","path","","","","","4","0","ふかいもり","ぶんきの 🪧(size84・どこも おなじ)","C","zone の なかの 通過点。🪧 いがい 何も ない","L0","",""
"forest","oldsign","ふるいひょうしき","path","","","","","4","0","ふかいもり","専用の もの(struct/絵文字 175-230) / ぶんきの 🪧(size84・どこも おなじ)","B","場所としては いみが ある が、目じるしは ない","L0","",""
"forest","nook","こけむしたくぼみ","rest","","yes","","","2","1","ふかいもり","まわりを しゃへいぶつ 4つで かこむ","A","しゃへいぶつの わ を ぬけた さきに ある。体験として 成立","L3","",""
